Team,League,Season,Position,Points,Win,Draw,Loss,Scored,Conceded,Shots_For,Shots_Ag,Shots_Tg_For,Shots_Tg_Ag,Fouls_For,Fouls_Ag,Bk_Pts,Win_H,Draw_H,Loss_H,Scored_H,Conceded_H,Shots_For_H,Shots_Ag_H,Shots_Tg_For_H,Shots_Tg_Ag_H,Fouls_For_H,Fouls_Ag_H,Bk_Pts_H,Win_A,Draw_A,Loss_A,Scored_A,Conceded_A,Shots_For_A,Shots_Ag_A,Shots_Tg_For_A,Shots_Tg_Ag_A,Fouls_For_A,Fouls_Ag_A,Bk_Pts_A
Leeds,E1,1718,14,60.0,17.0,9.0,20.0,59.0,64.0,546.0,612.0,170.0,187.0,558.0,564.0,1015.0,10.0,6.0,7.0,32.0,27.0,290.0,276.0,91.0,87.0,283.0,298.0,515.0,7.0,3.0,13.0,27.0,37.0,256.0,336.0,79.0,100.0,275.0,266.0,500.0
Sheffield Weds,E1,1718,15,57.0,14.0,15.0,17.0,59.0,60.0,555.0,620.0,156.0,209.0,527.0,455.0,855.0,8.0,7.0,8.0,37.0,31.0,315.0,284.0,93.0,94.0,262.0,248.0,395.0,6.0,8.0,9.0,22.0,29.0,240.0,336.0,63.0,115.0,265.0,207.0,460.0
QPR,E1,1718,16,56.0,15.0,11.0,20.0,58.0,70.0,637.0,568.0,208.0,194.0,613.0,571.0,955.0,12.0,5.0,6.0,38.0,31.0,353.0,279.0,122.0,95.0,319.0,304.0,405.0,3.0,6.0,14.0,20.0,39.0,284.0,289.0,86.0,99.0,294.0,267.0,550.0
Nott'm Forest,E1,1718,17,53.0,15.0,8.0,23.0,51.0,65.0,594.0,628.0,193.0,206.0,528.0,521.0,975.0,10.0,3.0,10.0,25.0,27.0,313.0,288.0,95.0,84.0,275.0,268.0,400.0,5.0,5.0,13.0,26.0,38.0,281.0,340.0,98.0,122.0,253.0,253.0,575.0
Hull,E1,1718,18,49.0,11.0,16.0,19.0,70.0,70.0,572.0,553.0,210.0,191.0,563.0,558.0,870.0,7.0,8.0,8.0,41.0,32.0,329.0,225.0,125.0,87.0,296.0,308.0,515.0,4.0,8.0,11.0,29.0,38.0,243.0,328.0,85.0,104.0,267.0,250.0,355.0
Birmingham,E1,1718,19,46.0,13.0,7.0,26.0,38.0,68.0,587.0,602.0,174.0,200.0,559.0,495.0,910.0,10.0,3.0,10.0,21.0,24.0,302.0,273.0,85.0,86.0,269.0,258.0,400.0,3.0,4.0,16.0,17.0,44.0,285.0,329.0,89.0,114.0,290.0,237.0,510.0
Reading,E1,1718,20,44.0,10.0,14.0,22.0,48.0,70.0,455.0,624.0,149.0,221.0,515.0,596.0,935.0,5.0,8.0,10.0,25.0,35.0,266.0,296.0,87.0,103.0,249.0,294.0,395.0,5.0,6.0,12.0,23.0,35.0,189.0,328.0,62.0,118.0,266.0,302.0,540.0
Bolton,E1,1718,21,43.0,10.0,13.0,23.0,39.0,74.0,495.0,626.0,145.0,228.0,647.0,545.0,1030.0,9.0,4.0,10.0,25.0,33.0,273.0,300.0,84.0,105.0,315.0,267.0,450.0,1.0,9.0,13.0,14.0,41.0,222.0,326.0,61.0,123.0,332.0,278.0,580.0
Barnsley,E1,1718,22,41.0,9.0,14.0,23.0,48.0,72.0,634.0,640.0,198.0,196.0,488.0,490.0,770.0,5.0,9.0,9.0,25.0,32.0,339.0,290.0,110.0,80.0,253.0,239.0,305.0,4.0,5.0,14.0,23.0,40.0,295.0,350.0,88.0,116.0,235.0,251.0,465.0
Burton,E1,1718,23,41.0,10.0,11.0,25.0,38.0,81.0,409.0,633.0,127.0,207.0,482.0,573.0,720.0,4.0,5.0,14.0,19.0,43.0,245.0,263.0,73.0,89.0,241.0,299.0,300.0,6.0,6.0,11.0,19.0,38.0,164.0,370.0,54.0,118.0,241.0,274.0,420.0
Sunderland,E1,1718,24,37.0,7.0,16.0,23.0,52.0,80.0,532.0,619.0,167.0,215.0,549.0,583.0,1040.0,3.0,7.0,13.0,23.0,39.0,303.0,296.0,95.0,103.0,277.0,280.0,475.0,4.0,9.0,10.0,29.0,41.0,229.0,323.0,72.0,112.0,272.0,303.0,565.0
